,Project ID,Phase,Start Date,Planned_Duration,Planned_Cost,Planned_Delivrable,Project,Actual_Duration,_merge,Delay,Is_Late,Delay_Category,Start_Month,Start_Quarter,Start_Year,Planned_Intensity,Project Type,Country,Region,Type,Phase 1 - Planning,Phase 2 - Initiation,Phase 3 - Implementation,Phase 4 - Manufacturing,Phase A - Initiation,Phase B - Preparation,Phase C - Development,Phase D - Testing,Phase E - Deployment,Phase F - Post-deployment
11,3,Phase 4 - Manufacturing,2018-10-23,61,450000,8,3,127,both,66,1,Retard moyen (1-3mois),10,4,2018,3.934426229508197,Marketing - Launch of new product,Liban,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
12,4,Phase 1 - Planning,2018-04-02,31,50000,20,4,17,both,-14,0,En avance,4,2,2018,19.35483870967742,Marketing - Launch of new product,Egypte,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
13,4,Phase 2 - Initiation,2018-09-21,13,100000,20,4,25,both,12,1,Petit retard (<1mois),9,3,2018,46.15384615384615,Marketing - Launch of new product,Egypte,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
14,4,Phase 3 - Implementation,2018-11-06,63,150000,32,4,147,both,84,1,Retard moyen (1-3mois),11,4,2018,15.238095238095237,Marketing - Launch of new product,Egypte,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
15,4,Phase 4 - Manufacturing,2019-04-02,44,450000,23,4,105,both,61,1,Retard moyen (1-3mois),4,2,2019,15.681818181818182,Marketing - Launch of new product,Egypte,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
16,5,Phase 1 - Planning,2018-01-19,11,50000,3,5,25,both,14,1,Petit retard (<1mois),1,1,2018,8.181818181818182,Marketing - Launch of new product,Afrique du Sud,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
17,5,Phase 2 - Initiation,2018-02-13,167,100000,21,5,157,both,-10,0,En avance,2,1,2018,3.772455089820359,Marketing - Launch of new product,Afrique du Sud,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
18,5,Phase 3 - Implementation,2018-03-05,197,150000,22,5,62,both,-135,0,En avance,3,1,2018,3.350253807106599,Marketing - Launch of new product,Afrique du Sud,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
19,5,Phase 4 - Manufacturing,2018-05-06,60,450000,13,5,52,both,-8,0,En avance,5,2,2018,6.5,Marketing - Launch of new product,Afrique du Sud,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
20,6,Phase 1 - Planning,2018-05-02,62,50000,19,6,57,both,-5,0,En avance,5,2,2018,9.193548387096774,Marketing - Launch of new product,Albanie,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
21,6,Phase 2 - Initiation,2018-06-28,158,100000,7,6,183,both,25,1,Petit retard (<1mois),6,2,2018,1.3291139240506329,Marketing - Launch of new product,Albanie,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
22,6,Phase 3 - Implementation,2018-07-18,68,150000,13,6,89,both,21,1,Petit retard (<1mois),7,3,2018,5.735294117647058,Marketing - Launch of new product,Albanie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
23,6,Phase 4 - Manufacturing,2018-10-15,30,450000,4,6,58,both,28,1,Petit retard (<1mois),10,4,2018,4.0,Marketing - Launch of new product,Albanie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
24,7,Phase 1 - Planning,2018-02-16,190,100000,30,7,151,both,-39,0,En avance,2,1,2018,4.7368421052631575,Marketing - Launch of new product,Hollande,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
25,7,Phase 2 - Initiation,2018-04-08,15,200000,30,7,26,both,11,1,Petit retard (<1mois),4,2,2018,60.0,Marketing - Launch of new product,Hollande,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
26,7,Phase 3 - Implementation,2018-06-06,162,300000,19,7,143,both,-19,0,En avance,6,2,2018,3.518518518518518,Marketing - Launch of new product,Hollande,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
27,7,Phase 4 - Manufacturing,2018-10-27,78,900000,19,7,120,both,42,1,Retard moyen (1-3mois),10,4,2018,7.3076923076923075,Marketing - Launch of new product,Hollande,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
28,8,Phase 1 - Planning,2018-04-16,48,100000,28,8,66,both,18,1,Petit retard (<1mois),4,2,2018,17.5,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
29,8,Phase 2 - Initiation,2018-07-31,179,200000,5,8,68,both,-111,0,En avance,7,3,2018,0.8379888268156424,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
30,8,Phase 3 - Implementation,2018-10-07,7,300000,10,8,6,both,-1,0,En avance,10,4,2018,42.85714285714286,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
31,8,Phase 4 - Manufacturing,2018-12-08,79,900000,18,8,135,both,56,1,Retard moyen (1-3mois),12,4,2018,6.8354430379746836,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
32,9,Phase 1 - Planning,2018-01-27,173,100000,12,9,135,both,-38,0,En avance,1,1,2018,2.0809248554913293,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
33,9,Phase 2 - Initiation,2018-02-28,66,200000,21,9,52,both,-14,0,En avance,2,1,2018,9.545454545454545,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
34,9,Phase 3 - Implementation,2018-04-21,9,300000,10,9,4,both,-5,0,En avance,4,2,2018,33.333333333333336,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
35,9,Phase 4 - Manufacturing,2018-06-04,98,900000,3,9,73,both,-25,0,En avance,6,2,2018,0.9183673469387755,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
36,10,Phase 1 - Planning,2018-02-01,95,33300,26,10,132,both,37,1,Retard moyen (1-3mois),2,1,2018,8.210526315789474,Marketing - Launch of new product,Benin,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
37,10,Phase 2 - Initiation,2018-06-13,17,66700,29,10,16,both,-1,0,En avance,6,2,2018,51.17647058823529,Marketing - Launch of new product,Benin,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
38,10,Phase 3 - Implementation,2018-11-24,46,100000,24,10,31,both,-15,0,En avance,11,4,2018,15.652173913043478,Marketing - Launch of new product,Benin,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
39,10,Phase 4 - Manufacturing,2019-04-04,13,300000,4,10,15,both,2,1,Petit retard (<1mois),4,2,2019,9.230769230769232,Marketing - Launch of new product,Benin,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
40,11,Phase 1 - Planning,2018-04-19,55,100000,4,11,78,both,23,1,Petit retard (<1mois),4,2,2018,2.1818181818181817,Marketing - Launch of new product,Italie,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
41,11,Phase 2 - Initiation,2018-08-04,6,200000,13,11,9,both,3,1,Petit retard (<1mois),8,3,2018,65.0,Marketing - Launch of new product,Italie,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
42,11,Phase 3 - Implementation,2018-08-24,107,300000,17,11,168,both,61,1,Retard moyen (1-3mois),8,3,2018,4.766355140186915,Marketing - Launch of new product,Italie,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
43,11,Phase 4 - Manufacturing,2019-02-08,48,900000,11,11,67,both,19,1,Petit retard (<1mois),2,1,2019,6.875,Marketing - Launch of new product,Italie,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
44,12,Phase 1 - Planning,2018-03-10,11,50000,22,12,8,both,-3,0,En avance,3,1,2018,60.0,Marketing - Launch of new product,Hongrie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
45,12,Phase 2 - Initiation,2018-06-04,134,100000,4,12,153,both,19,1,Petit retard (<1mois),6,2,2018,0.8955223880597015,Marketing - Launch of new product,Hongrie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
46,12,Phase 3 - Implementation,2018-11-04,148,150000,3,12,144,both,-4,0,En avance,11,4,2018,0.6081081081081081,Marketing - Launch of new product,Hongrie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
47,12,Phase 4 - Manufacturing,2019-03-28,148,450000,22,12,104,both,-44,0,En avance,3,1,2019,4.45945945945946,Marketing - Launch of new product,Hongrie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
48,13,Phase 1 - Planning,2018-02-13,89,50000,19,13,106,both,17,1,Petit retard (<1mois),2,1,2018,6.404494382022472,Marketing - Launch of new product,France,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
49,13,Phase 2 - Initiation,2018-05-30,192,100000,7,13,97,both,-95,0,En avance,5,2,2018,1.09375,Marketing - Launch of new product,France,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
50,13,Phase 3 - Implementation,2018-09-04,125,150000,26,13,139,both,14,1,Petit retard (<1mois),9,3,2018,6.239999999999999,Marketing - Launch of new product,France,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
51,13,Phase 4 - Manufacturing,2019-01-21,176,450000,22,13,153,both,-23,0,En avance,1,1,2019,3.75,Marketing - Launch of new product,France,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
52,14,Phase 1 - Planning,2018-04-13,191,50000,9,14,150,both,-41,0,En avance,4,2,2018,1.4136125654450262,Marketing - Launch of new product,Croatie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
53,14,Phase 2 - Initiation,2018-04-28,131,100000,31,14,122,both,-9,0,En avance,4,2,2018,7.099236641221374,Marketing - Launch of new product,Croatie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
54,14,Phase 3 - Implementation,2018-05-02,1,150000,1,14,14,both,13,1,Petit retard (<1mois),5,2,2018,30.0,Marketing - Launch of new product,Croatie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
55,14,Phase 4 - Manufacturing,2018-09-24,136,450000,20,14,55,both,-81,0,En avance,9,3,2018,4.411764705882353,Marketing - Launch of new product,Croatie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
56,15,Phase 1 - Planning,2018-01-01,166,33300,22,15,164,both,-2,0,En avance,1,1,2018,3.9759036144578315,Marketing - Launch of new product,Burkina Faso,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
57,15,Phase 2 - Initiation,2018-01-19,159,66700,25,15,171,both,12,1,Petit retard (<1mois),1,1,2018,4.716981132075471,Marketing - Launch of new product,Burkina Faso,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
58,15,Phase 3 - Implementation,2018-07-09,26,100000,32,15,41,both,15,1,Petit retard (<1mois),7,3,2018,36.92307692307693,Marketing - Launch of new product,Burkina Faso,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
59,15,Phase 4 - Manufacturing,2018-09-28,110,300000,14,15,71,both,-39,0,En avance,9,3,2018,3.818181818181818,Marketing - Launch of new product,Burkina Faso,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
60,16,Phase 1 - Planning,2018-02-07,30,33300,6,16,25,both,-5,0,En avance,2,1,2018,6.0,Marketing - Launch of new product,Cote d'Ivoire,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
61,16,Phase 2 - Initiation,2018-05-21,101,66700,7,16,115,both,14,1,Petit retard (<1mois),5,2,2018,2.0792079207920793,Marketing - Launch of new product,Cote d'Ivoire,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
62,16,Phase 3 - Implementation,2018-09-13,152,100000,7,16,100,both,-52,0,En avance,9,3,2018,1.381578947368421,Marketing - Launch of new product,Cote d'Ivoire,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
63,16,Phase 4 - Manufacturing,2018-09-23,21,300000,6,16,32,both,11,1,Petit retard (<1mois),9,3,2018,8.571428571428571,Marketing - Launch of new product,Cote d'Ivoire,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
64,17,Phase 1 - Planning,2018-01-07,140,100000,26,17,97,both,-43,0,En avance,1,1,2018,5.571428571428571,Marketing - Launch of new product,Espagne,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
65,17,Phase 2 - Initiation,2018-04-14,174,200000,13,17,67,both,-107,0,En avance,4,2,2018,2.241379310344828,Marketing - Launch of new product,Espagne,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
66,17,Phase 3 - Implementation,2018-06-20,110,300000,28,17,147,both,37,1,Retard moyen (1-3mois),6,2,2018,7.636363636363636,Marketing - Launch of new product,Espagne,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
67,17,Phase 4 - Manufacturing,2018-11-14,72,900000,12,17,61,both,-11,0,En avance,11,4,2018,5.0,Marketing - Launch of new product,Espagne,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
68,18,Phase 1 - Planning,2018-04-04,89,33300,8,18,64,both,-25,0,En avance,4,2,2018,2.696629213483146,Marketing - Launch of new product,Gabon,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
69,18,Phase 2 - Initiation,2018-06-07,178,66700,15,18,65,both,-113,0,En avance,6,2,2018,2.528089887640449,Marketing - Launch of new product,Gabon,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
70,18,Phase 3 - Implementation,2018-08-11,34,100000,13,18,41,both,7,1,Petit retard (<1mois),8,3,2018,11.470588235294116,Marketing - Launch of new product,Gabon,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
71,18,Phase 4 - Manufacturing,2018-09-21,119,300000,29,18,100,both,-19,0,En avance,9,3,2018,7.310924369747899,Marketing - Launch of new product,Gabon,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
72,19,Phase 1 - Planning,2018-03-17,186,100000,29,19,200,both,14,1,Petit retard (<1mois),3,1,2018,4.67741935483871,Marketing - Launch of new product,Republique Chèque,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
73,19,Phase 2 - Initiation,2018-04-05,115,200000,24,19,155,both,40,1,Retard moyen (1-3mois),4,2,2018,6.260869565217391,Marketing - Launch of new product,Republique Chèque,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
74,19,Phase 3 - Implementation,2018-09-07,184,300000,17,19,110,both,-74,0,En avance,9,3,2018,2.7717391304347823,Marketing - Launch of new product,Republique Chèque,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
75,19,Phase 4 - Manufacturing,2018-12-26,145,900000,21,19,144,both,-1,0,En avance,12,4,2018,4.344827586206897,Marketing - Launch of new product,Republique Chèque,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
76,20,Phase 1 - Planning,2018-01-25,125,50000,8,20,125,both,0,0,À l'heure,1,1,2018,1.92,Marketing - Launch of new product,Colombie,North and Latin America,Distributor,1,0,0,0,0,0,0,0,0,0
77,20,Phase 2 - Initiation,2018-02-15,117,100000,23,20,84,both,-33,0,En avance,2,1,2018,5.897435897435897,Marketing - Launch of new product,Colombie,North and Latin America,Distributor,0,1,0,0,0,0,0,0,0,0
78,20,Phase 3 - Implementation,2018-05-10,54,150000,24,20,99,both,45,1,Retard moyen (1-3mois),5,2,2018,13.333333333333332,Marketing - Launch of new product,Colombie,North and Latin America,Distributor,0,0,1,0,0,0,0,0,0,0
79,20,Phase 4 - Manufacturing,2018-08-17,120,450000,30,20,121,both,1,1,Petit retard (<1mois),8,3,2018,7.5,Marketing - Launch of new product,Colombie,North and Latin America,Distributor,0,0,0,1,0,0,0,0,0,0
80,21,Phase 1 - Planning,2018-04-13,49,50000,8,21,54,both,5,1,Petit retard (<1mois),4,2,2018,4.897959183673469,Marketing - Launch of new product,Estonie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
81,21,Phase 2 - Initiation,2018-06-06,60,100000,20,21,70,both,10,1,Petit retard (<1mois),6,2,2018,10.0,Marketing - Launch of new product,Estonie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
82,21,Phase 3 - Implementation,2018-11-23,151,150000,24,21,106,both,-45,0,En avance,11,4,2018,4.768211920529802,Marketing - Launch of new product,Estonie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
83,21,Phase 4 - Manufacturing,2019-03-09,177,450000,12,21,145,both,-32,0,En avance,3,1,2019,2.0338983050847457,Marketing - Launch of new product,Estonie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
84,22,Phase 1 - Planning,2018-03-06,175,50000,5,22,139,both,-36,0,En avance,3,1,2018,0.8571428571428571,Marketing - Launch of new product,Bresil,North and Latin America,Distributor,1,0,0,0,0,0,0,0,0,0
85,22,Phase 2 - Initiation,2018-04-05,149,100000,3,22,125,both,-24,0,En avance,4,2,2018,0.6040268456375839,Marketing - Launch of new product,Bresil,North and Latin America,Distributor,0,1,0,0,0,0,0,0,0,0
86,22,Phase 3 - Implementation,2018-08-08,198,150000,7,22,154,both,-44,0,En avance,8,3,2018,1.0606060606060606,Marketing - Launch of new product,Bresil,North and Latin America,Distributor,0,0,1,0,0,0,0,0,0,0
87,22,Phase 4 - Manufacturing,2018-10-01,109,450000,27,22,123,both,14,1,Petit retard (<1mois),10,4,2018,7.431192660550459,Marketing - Launch of new product,Bresil,North and Latin America,Distributor,0,0,0,1,0,0,0,0,0,0
88,23,Phase 1 - Planning,2018-04-26,151,100000,6,23,57,both,-94,0,En avance,4,2,2018,1.1920529801324504,Marketing - Launch of new product,Suisse,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
89,23,Phase 2 - Initiation,2018-06-22,16,200000,26,23,7,both,-9,0,En avance,6,2,2018,48.75,Marketing - Launch of new product,Suisse,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
90,23,Phase 3 - Implementation,2018-09-09,67,300000,3,23,135,both,68,1,Retard moyen (1-3mois),9,3,2018,1.3432835820895521,Marketing - Launch of new product,Suisse,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
91,23,Phase 4 - Manufacturing,2019-01-22,14,900000,21,23,14,both,0,0,À l'heure,1,1,2019,45.0,Marketing - Launch of new product,Suisse,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
92,24,Phase 1 - Planning,2018-03-03,165,50000,13,24,87,both,-78,0,En avance,3,1,2018,2.3636363636363633,Marketing - Launch of new product,Ukraine,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
93,24,Phase 2 - Initiation,2018-04-21,125,100000,21,24,132,both,7,1,Petit retard (<1mois),4,2,2018,5.04,Marketing - Launch of new product,Ukraine,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
94,24,Phase 3 - Implementation,2018-08-31,132,150000,21,24,54,both,-78,0,En avance,8,3,2018,4.7727272727272725,Marketing - Launch of new product,Ukraine,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
95,24,Phase 4 - Manufacturing,2018-10-24,189,450000,23,24,165,both,-24,0,En avance,10,4,2018,3.6507936507936507,Marketing - Launch of new product,Ukraine,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
96,25,Phase 1 - Planning,2018-02-05,20,33300,11,25,30,both,10,1,Petit retard (<1mois),2,1,2018,16.5,Marketing - Launch of new product,Togo,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
97,25,Phase 2 - Initiation,2018-03-07,188,66700,11,25,199,both,11,1,Petit retard (<1mois),3,1,2018,1.7553191489361701,Marketing - Launch of new product,Togo,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
98,25,Phase 3 - Implementation,2018-03-15,102,100000,7,25,63,both,-39,0,En avance,3,1,2018,2.058823529411765,Marketing - Launch of new product,Togo,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
99,25,Phase 4 - Manufacturing,2018-05-17,105,300000,6,25,73,both,-32,0,En avance,5,2,2018,1.7142857142857142,Marketing - Launch of new product,Togo,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
100,26,Phase 1 - Planning,2018-05-23,76,100000,31,26,95,both,19,1,Petit retard (<1mois),5,2,2018,12.236842105263158,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
101,26,Phase 2 - Initiation,2018-10-18,28,200000,3,26,45,both,17,1,Petit retard (<1mois),10,4,2018,3.214285714285714,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
102,26,Phase 3 - Implementation,2019-01-08,128,300000,27,26,112,both,-16,0,En avance,1,1,2019,6.328125,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
103,26,Phase 4 - Manufacturing,2019-01-20,3,900000,6,26,1,both,-2,0,En avance,1,1,2019,60.0,Marketing - Launch of new product,Allemagne,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
104,27,Phase 1 - Planning,2018-02-19,60,50000,23,27,99,both,39,1,Retard moyen (1-3mois),2,1,2018,11.5,Marketing - Launch of new product,La Reunion,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
105,27,Phase 2 - Initiation,2018-06-13,199,100000,12,27,151,both,-48,0,En avance,6,2,2018,1.809045226130653,Marketing - Launch of new product,La Reunion,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
106,27,Phase 3 - Implementation,2018-11-11,57,150000,20,27,28,both,-29,0,En avance,11,4,2018,10.526315789473683,Marketing - Launch of new product,La Reunion,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
107,27,Phase 4 - Manufacturing,2018-12-09,125,450000,18,27,168,both,43,1,Retard moyen (1-3mois),12,4,2018,4.319999999999999,Marketing - Launch of new product,La Reunion,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
108,28,Phase 1 - Planning,2018-01-24,21,100000,14,28,13,both,-8,0,En avance,1,1,2018,20.0,Marketing - Launch of new product,Russie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
109,28,Phase 2 - Initiation,2018-06-08,94,200000,7,28,51,both,-43,0,En avance,6,2,2018,2.234042553191489,Marketing - Launch of new product,Russie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
110,28,Phase 3 - Implementation,2018-07-29,128,300000,17,28,218,both,90,1,Retard moyen (1-3mois),7,3,2018,3.984375,Marketing - Launch of new product,Russie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
111,28,Phase 4 - Manufacturing,2018-08-26,91,900000,32,28,32,both,-59,0,En avance,8,3,2018,10.549450549450551,Marketing - Launch of new product,Russie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
112,29,Phase 1 - Planning,2018-03-08,7,50000,7,29,14,both,7,1,Petit retard (<1mois),3,1,2018,30.0,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
